postcode,country,address,location,point,latitude,longitude,altitude
75001,FR,"75001, FR","Quartier du Palais Royal, Paris 1er Arrondissement, Paris, Île-de-France, France métropolitaine, 75001, France","(48.8635535039561, 2.33885565919603, 0.0)",48.8635535039561,2.33885565919603,0.0
75002,FR,"75002, FR","Quartier du Mail, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France","(48.8674178540292, 2.34425631198765, 0.0)",48.8674178540292,2.34425631198765,0.0
75003,FR,"75003, FR","Quartier des Enfants-Rouges, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France","(48.8626070953067, 2.36021125472424, 0.0)",48.8626070953067,2.36021125472424,0.0
75004,FR,"75004, FR","Quartier Saint-Gervais, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France","(48.8560044890472, 2.35702787286538, 0.0)",48.8560044890472,2.35702787286538,0.0
75005,FR,"75005, FR","Quartier de la Sorbonne, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France","(48.85275155, 2.34634315537975, 0.0)",48.85275155,2.34634315537975,0.0
75006,FR,"75006, FR","Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France","(48.85353725, 2.34337024122443, 0.0)",48.85353725,2.34337024122443,0.0
75007,FR,"75007, FR","Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France","(48.8559128968068, 2.31383898039739, 0.0)",48.8559128968068,2.31383898039739,0.0
75008,FR,"75008, FR","Quartier de la Madeleine, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France","(48.8723847149621, 2.31270722284051, 0.0)",48.8723847149621,2.31270722284051,0.0
75009,FR,"75009, FR","Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France","(48.8773547587216, 2.33685569093637, 0.0)",48.8773547587216,2.33685569093637,0.0
75010,FR,"75010, FR","Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France","(48.8792014, 2.3543906, 0.0)",48.8792014,2.3543906,0.0
75011,FR,"75011, FR","Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France","(48.85563005, 2.37080568516558, 0.0)",48.85563005,2.37080568516558,0.0
75012,FR,"75012, FR","Quartier de Bercy, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France","(48.83973365, 2.38005401382706, 0.0)",48.83973365,2.38005401382706,0.0
75013,FR,"75013, FR","Quartier de la Maison-Blanche, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France","(48.826997, 2.35339594174139, 0.0)",48.826997,2.35339594174139,0.0
75014,FR,"75014, FR","Quartier de Plaisance, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France","(48.8285901, 2.3075414, 0.0)",48.8285901,2.3075414,0.0
75015,FR,"75015, FR","Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","(48.8384608, 2.3157276, 0.0)",48.8384608,2.3157276,0.0
75016,FR,"75016, FR","Quartier de la Muette, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France","(48.8550313816894, 2.2739577654064, 0.0)",48.8550313816894,2.2739577654064,0.0
75017,FR,"75017, FR","Quartier de la Plaine-de-Monceau, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France","(48.8835082332912, 2.30492319588278, 0.0)",48.8835082332912,2.30492319588278,0.0
75018,FR,"75018, FR","Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France","(48.8930741, 2.343881, 0.0)",48.8930741,2.343881,0.0
75019,FR,"75019, FR","Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France","(48.8780763, 2.3761978, 0.0)",48.8780763,2.3761978,0.0
75020,FR,"75020, FR","Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France","(48.85712625, 2.40925735617134, 0.0)",48.85712625,2.40925735617134,0.0
